Terrain 1,,,,,,,,,,,
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
1,2,8,4,6,7,13,5,16,1,8,7
18,7,15,13,10,12,18,9,18,4,10,9
2,6,9,1,4,11,1,8,7,13,1,15
17,8,14,6,7,18,17,11,14,17,12,18
Terrain 2,,,,,,,,,,,
3,1,10,2,9,13,3,10,8,3,2,10
16,9,13,14,12,15,4,12,9,5,11,14
4,3,11,15,2,8,6,2,12,14,4,11
15,10,12,17,3,17,16,4,13,18,5,13
Terrain 3,,,,,,,,,,,
5,4,17,16,5,14,2,1,15,2,3,12
14,11,18,5,8,16,5,3,17,6,7,8
6,5,7,3,1,9,14,6,10,15,6,16
13,12,16,18,11,10,15,7,11,16,9,17
Pause,,,,,,,,,,,
7,13,1,7,13,1,7,13,1,7,13,1
12,18,6,12,18,6,12,18,6,12,18,6
8,14,2,8,14,2,8,14,2,8,14,2
11,17,5,11,17,5,11,17,5,11,17,5
9,15,3,9,15,3,9,15,3,9,15,3
10,16,4,10,16,4,10,16,4,10,16,4
